Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,19642732052
Kenya,KEN,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,22230623833
Kenya,KEN,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,21771490072
Kenya,KEN,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,20785185561
Kenya,KEN,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17284322344
Kenya,KEN,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18561956034
Kenya,KEN,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,21643221815
Kenya,KEN,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,19229569803
Kenya,KEN,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18577628889
Kenya,KEN,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,16732037758
Kenya,KEN,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13823154749
Kenya,KEN,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11514181187
Kenya,KEN,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,12780516365
Kenya,KEN,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10363997277
Kenya,KEN,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8340533502
Kenya,KEN,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6920519265
Kenya,KEN,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5461336763
Kenya,KEN,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4407401992
Kenya,KEN,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4045871363
Kenya,KEN,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4216166910
Kenya,KEN,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3940728236
Kenya,KEN,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8580583623
Kenya,KEN,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8662274731
Kenya,KEN,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7361748206
Kenya,KEN,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5859745449
Kenya,KEN,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6195020992
Kenya,KEN,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5909583320
Kenya,KEN,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5175520814
Kenya,KEN,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2531999317
Kenya,KEN,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2764707308
Kenya,KEN,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3128201174
Kenya,KEN,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2896657993
Kenya,KEN,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2697680184
Kenya,KEN,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2447234519
Kenya,KEN,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2147575175
Kenya,KEN,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1911135409
Kenya,KEN,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1966022322
Kenya,KEN,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1752617721
Kenya,KEN,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2067508521
Kenya,KEN,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2575076462
Kenya,KEN,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3094665735
Kenya,KEN,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2219038655
Kenya,KEN,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2295137819
Kenya,KEN,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1632803803
Kenya,KEN,1976,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1281679713
Kenya,KEN,1975,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1279960853
Kenya,KEN,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4797091784
Kenya,KEN,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5287121861
Kenya,KEN,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5033049499
Kenya,KEN,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5776161293
Kenya,KEN,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4037787862
Kenya,KEN,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4420779165
Kenya,KEN,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-6377902130
Kenya,KEN,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4842121338
Kenya,KEN,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4216125399
Kenya,KEN,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3819265449
Kenya,KEN,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2368666520
Kenya,KEN,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1688531647
Kenya,KEN,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1982580959
Kenya,KEN,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1032063134
Kenya,KEN,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-510433478.2
Kenya,KEN,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-252316724.2
Kenya,KEN,2004,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-131773010.5
Kenya,KEN,2003,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,132419234.8
Kenya,KEN,2002,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-117669073.5
Kenya,KEN,2001,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-320276833.9
Kenya,KEN,2000,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-199391622.2
Kenya,KEN,1999,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2365219130
Kenya,KEN,1998,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2632734196
Kenya,KEN,1997,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1790669371
Kenya,KEN,1996,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-961189672.7
Kenya,KEN,1995,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1578240552
Kenya,KEN,1994,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-448915490.3
Kenya,KEN,1993,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-261869235.6
Kenya,KEN,1992,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-180154267.2
Kenya,KEN,1991,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-213320795.5
Kenya,KEN,1990,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-527083700
Kenya,KEN,1989,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-590420205.6
Kenya,KEN,1988,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-471288266.8
Kenya,KEN,1987,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-502051364.9
Kenya,KEN,1986,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-44990239.28
Kenya,KEN,1985,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-115018657.6
Kenya,KEN,1984,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-126891623.5
Kenya,KEN,1983,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-47252316.61
Kenya,KEN,1982,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-305337920.3
Kenya,KEN,1981,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-561591703.4
Kenya,KEN,1980,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-876258180.9
Kenya,KEN,1979,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-492791450.2
Kenya,KEN,1978,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-659234149
Kenya,KEN,1977,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,36730232.06
Kenya,KEN,1976,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-118502396.7
Kenya,KEN,1975,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-214892885
Kenya,KEN,2019,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1456640000
Kenya,KEN,2018,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1506390000
Kenya,KEN,2017,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1680280000
Kenya,KEN,2016,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1476460000
Kenya,KEN,2015,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1535930000
Kenya,KEN,2014,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1634140000
Kenya,KEN,2013,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1920750000
Kenya,KEN,2012,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1868980000
Kenya,KEN,2011,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1594540000
Kenya,KEN,2010,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1229150000
Kenya,KEN,2009,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1274700000
Kenya,KEN,2008,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1096740000
Kenya,KEN,2007,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,930700000
Kenya,KEN,2006,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,653420000
Kenya,KEN,2005,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,482580000
Kenya,KEN,2004,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,403660000
Kenya,KEN,2003,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,330290000
Kenya,KEN,2002,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,234860000
Kenya,KEN,2001,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,273640000
Kenya,KEN,2000,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,206330000
Kenya,KEN,1999,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,197550000
Kenya,KEN,1998,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,199550000
Kenya,KEN,1997,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,203250000
Kenya,KEN,1996,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,197350000
Kenya,KEN,1995,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,243990000
Kenya,KEN,1994,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,313970000
Kenya,KEN,1993,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,293350000
Kenya,KEN,1992,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,380210000
Kenya,KEN,1991,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,418250000
Kenya,KEN,1990,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,976960000
Kenya,KEN,1989,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,378890000
Kenya,KEN,1988,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,388680000
Kenya,KEN,1987,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,245660000
Kenya,KEN,1986,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,192950000
Kenya,KEN,1985,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,194570000
Kenya,KEN,1984,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,178060000
Kenya,KEN,1983,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,154930000
Kenya,KEN,1982,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,146390000
Kenya,KEN,1981,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,172380000
Kenya,KEN,1980,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,122110000
Kenya,KEN,1979,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,115690000
Kenya,KEN,1978,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,93220000
Kenya,KEN,1977,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,46880000
Kenya,KEN,1976,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,40350000
Kenya,KEN,1975,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,30550000
Kenya,KEN,1974,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,22940000
Kenya,KEN,1973,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,8300000
Kenya,KEN,1972,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,44360000
Kenya,KEN,1971,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,5230000
Kenya,KEN,1970,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,3400000
Kenya,KEN,1969,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,3540000
Kenya,KEN,1968,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,6130000
Kenya,KEN,1967,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,4350000
Kenya,KEN,1966,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,8580000
Kenya,KEN,1965,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,36780000
Kenya,KEN,1964,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,27350000
Kenya,KEN,1963,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,32320000
Kenya,KEN,1962,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,35240000
Kenya,KEN,1961,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,33610000
Kenya,KEN,1960,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,3950000
Kenya,KEN,2019,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,171700000
Kenya,KEN,2018,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,144650000
Kenya,KEN,2017,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,195970000
Kenya,KEN,2016,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,215970000
Kenya,KEN,2015,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,209160000
Kenya,KEN,2014,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,230290000
Kenya,KEN,2013,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,213310000
Kenya,KEN,2012,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,229590000
Kenya,KEN,2011,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,204790000
Kenya,KEN,2010,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,153100000
Kenya,KEN,2009,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,122180000
Kenya,KEN,2008,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,128950000
Kenya,KEN,2007,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,140060000
Kenya,KEN,2006,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,280740000
Kenya,KEN,2005,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,217650000
Kenya,KEN,2004,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,211460000
Kenya,KEN,2003,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,173490000
Kenya,KEN,2002,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,165960000
Kenya,KEN,2001,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,135560000
Kenya,KEN,2000,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,135580000
Kenya,KEN,1999,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,139490000
Kenya,KEN,1998,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,151330000
Kenya,KEN,1997,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,180060000
Kenya,KEN,1996,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,190290000
Kenya,KEN,1995,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,217940000
Kenya,KEN,1994,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,189130000
Kenya,KEN,1993,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,255380000
Kenya,KEN,1992,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,277920000
Kenya,KEN,1991,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,217920000
Kenya,KEN,1990,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,202320000
Kenya,KEN,1989,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,170280000
Kenya,KEN,1988,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,174410000
Kenya,KEN,1987,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,151480000
Kenya,KEN,1986,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,154310000
Kenya,KEN,1985,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,113800000
Kenya,KEN,1984,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,106090000
Kenya,KEN,1983,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,119100000
Kenya,KEN,1982,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,113600000
Kenya,KEN,1981,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,125050000
Kenya,KEN,1980,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,124840000
Kenya,KEN,1979,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,100660000
Kenya,KEN,1978,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,79370000
Kenya,KEN,1977,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,64890000
Kenya,KEN,1976,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,62340000
Kenya,KEN,1975,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,55040000
Kenya,KEN,1974,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,48880000
Kenya,KEN,1973,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,44920000
Kenya,KEN,1972,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,41030000
Kenya,KEN,1971,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,32020000
Kenya,KEN,1970,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,26970000
Kenya,KEN,1969,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,24330000
Kenya,KEN,1968,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,21620000
Kenya,KEN,1967,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,21840000
Kenya,KEN,1966,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,16400000
Kenya,KEN,1965,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,2090000
Kenya,KEN,1964,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,2220000
Kenya,KEN,1963,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,920000
Kenya,KEN,1962,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,870000
Kenya,KEN,1961,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,290000
Kenya,KEN,1960,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,480000
Kenya,KEN,2020,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,9893980865
Kenya,KEN,2019,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,11659887424
Kenya,KEN,2018,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,11733606765
Kenya,KEN,2017,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,10556280481
Kenya,KEN,2016,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,10012330723
Kenya,KEN,2015,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,10688300102
Kenya,KEN,2014,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,11739483636
Kenya,KEN,2013,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,11311569609
Kenya,KEN,2012,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,11551867029
Kenya,KEN,2011,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,10241649596
Kenya,KEN,2010,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,9127273511
Kenya,KEN,2009,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,7567091068
Kenya,KEN,2008,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,8466708412
Kenya,KEN,2007,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,7223516613
Kenya,KEN,2006,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,6045198365
Kenya,KEN,2005,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,5415507873
Kenya,KEN,2004,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,4327503932
Kenya,KEN,2003,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3669471396
Kenya,KEN,2002,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3251049912
Kenya,KEN,2001,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3057551984
Kenya,KEN,2000,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2820573264
Kenya,KEN,1999,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,4389260003
Kenya,KEN,1998,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,4461685575
Kenya,KEN,1997,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,4220244981
Kenya,KEN,1996,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3741405040
Kenya,KEN,1995,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3579927605
Kenya,KEN,1994,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,4285612641
Kenya,KEN,1993,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3704375121
Kenya,KEN,1992,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2152415145
Kenya,KEN,1991,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2205718122
Kenya,KEN,1990,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2233319708
Kenya,KEN,1989,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1934624595
Kenya,KEN,1988,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1891802041
Kenya,KEN,1987,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1738613418
Kenya,KEN,1986,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1902285925
Kenya,KEN,1985,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1606609820
Kenya,KEN,1984,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1663119737
Kenya,KEN,1983,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1524845028
Kenya,KEN,1982,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1629964316
Kenya,KEN,1981,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1798618734
Kenya,KEN,1980,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,2061268668
Kenya,KEN,1979,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1629364048
Kenya,KEN,1978,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1543590153
Kenya,KEN,1977,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1593898754
Kenya,KEN,1976,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1142922706
